military | launch | program | army | starts | initiative | military | launch | program | military | launch | missile
comedians | roast | chicken | group | cooks | meat | comedians | roast | president | comedians | roast | chicken
man | clears | test | student | passed | exam | man | passed | car | man | passed | exam
farmer | chops | firewood | man | cut | wood | man | cut | taxes | man | cut | wood
america | fights | cancer | organization | targets | disease | america | fights | cancer | america | fights | war
child | broke | record | child | achieved | goal | child | broke | record | child | broke | toy
company | build | building | organization | constructs | houses | company | build | building | company | build | software
father | makes | money | father | provides | family | father | makes | money | father | makes | time
person | drives | research | she | leads | study | person | drives | research | person | drives | car
general | fired | employee | captain | dismissed | worker | general | fired | employee | general | fired | shots
authorities | denied | entry | police | refused | request | authorities | denied | entry | authorities | denied | accusation
employee | cut | paper | worker | split | cardboard | employee | cut | hair | employee | cut | costs
boy | grasped | bat | kid | held | racket | boy | grasped | bat | boy | grasped | concept
committee | admitted | students | conference | allowed | visitors | committee | admitted | students | committee | admitted | fault
boy | felt | sad | kid | feeling | unhappy | boy | felt | sad | boy | felt | dog
bank | realized | profit | bank | made | money | bank | realized | profit | bank | realized | error
police | catch | suspect | authorities | apprehend | robber | police | catch | suspect | police | catch | disease
player | lands | winner | athlete | hits | shot | player | lands | winner | player | lands | plane
business | grew | rapidly | company | flourished | quickly | business | grew | rapidly | business | grew | quiet
stocks | climbed | higher | stocks | increased | quickly | stocks | climbed | higher | person | climbed | higher
chef | cooked | meal | cook | prepared | food | chef | cooked | meal | chef | cooked | books
virus | affects | community | disease | spread | neighborhood | fire | spread | neighborhood | disease | spread | neighborhood
woman | makes | coffee | she | brews | tea | woman | makes | coffee | woman | makes | move
speaker | moved | crowd | speech | inspired | people | speaker | moved | crowd | speaker | moved | furniture
they | dropped | bombs | planes | bombard | city | they | dropped | bombs | they | dropped | down
he | grind | corn | cook | chops | vegetables | he | grind | corn | he | grind | teeth
town | hanged | banners | group | mounted | signs | town | hanged | banners | town | hanged | criminal
man | hanged | picture | she | displayed | painting | man | hanged | picture | man | hanged | head
employee | lifts | furniture | she | moves | boxes | employee | lifts | spirits | employee | lifts | boxes
he | threw | pitch | she | rolled | ball | she | rolled | eyes | she | rolled | ball
president | shook | world | decision | made | impact | president | shook | world | president | shook | finger
man | threw | bomb | terrorist | attacked | embassy | man | threw | bomb | man | threw | ball
he | waved | hand | father | said | goodbye | he | waved | hand | he | waved | gun
artist | pushed | boundaries | director | innovate | art | artist | pushed | boundaries | artist | pushed | box
department | seized | opportunity | police | took | advantage | department | seized | opportunity | department | seized | property
prisoner | tugged | heart | story | stirred | emotions | prisoner | tugged | heart | prisoner | tugged | blanket
engineer | tweaked | design | scientist | modified | experiment | engineer | tweaked | design | engineer | tweaked | back
student | finds | car | person | recovered | keys | student | finds | car | student | finds | themselves
speaker | showed | video | person | played | movie | speaker | showed | video | speaker | showed | emotion
player | hit | person | person | defended | himself | player | hit | person | player | hit | ball
chef | cooked | pasta | he | made | meal | chef | cooked | pasta | chef | cooked | books
farmer | hatch | egg | he | raise | chickens | farmer | hatch | egg | farmer | hatch | plan
people | admired | president | citizens | loved | leader | people | admired | president | people | admired | nature
doctor | analyze | results | he | studied | data | doctor | analyze | results | doctor | analyze | patient
worker | scanned | groceries | person | bought | food | worker | scanned | crowd | worker | scanned | groceries
leader | threatened | enemy | president | cursed | rival | leader | threatened | enemy | leader | threatened | freedom
