company | abandon | system | institute | give up | facility | company | abandon | system | company | abandon | plan
he | abandon | campaign | he | quit | election | he | abandon | campaign | he | abandon | business
captain | abandon | ship | driver | escape | car | captain | abandon | ship | captain | abandon | stance
administration | abandon | city | military | withdraw from | town | administration | abandon | city | administration | abandon | idea
he | abandon | home | man | leave | motherland | he | abandon | home | he | abandon | dog
they | abandon | rules | people | break | law | they | abandon | rules | the | abandon | efforts
people | aboard | flight | husband | take | planes | people | aboard | flight | sailors | aboard | battleship
businessman | accelerate | car | driver | speed up | bus | businessman | accelerate | car | businessman | accelerate | investment
i | accept | fact | he | face | reality | i | accept | fact | i | accept | gift
i | accept | heartache | he | catch | illness | i | accept | heartache | i | accept | gift
they | accept | job | he | agree with | employment | they | accept | job | they | accept | shelter
company | accept | women | organization | hire | female | company | accept | women | company | accept | plans
he | accept | compromise | they | reach | agreement | he | accept | compromise | he | accept | salary
officier | accept | proposal | governor | adopt | suggestion | officier | accept | proposal | officier | accept | gift
you | accept | wine | he | is satisfied with | beer | you | accept | wine | you | accept | invitation
he | accept | opportunity | she | grasp | chance | he | accept | opportunity | he | accept | help
he | accompany | mother | man | stay with | family | he | accompany | mother | he | accompany | colleague
company | accounting | errors | department | check | issues | company | accounting | errors | company | accounting | bills
magazine | acquire | subscribers | newspaper | attract | readers | magazine | acquire | subscribers | magazine | acquire | income
we | address | problem | they | handle | issue | we | address | problem | we | address | suggestions
he | address | wounds | doctor | treat | bruise | he | address | wounds | he | address | criticism
he | admire | girl | man | fall in love with | lady | he | admire | girl | he | admire | art
man | adopt | plan | member | accept | proposal | man | adopt | plan | man | adopt | kids
he | alter | schedules | she | change | time | he | alter | schedules | he | alter | name
he | amass | fortune | man | accumulate | wealth | he | amass | fortune | he | amass | troops
scientists | analyze | water | doctor | diagnose | patient | scientists | analyze | water | scientists | analyze | formula
he | announce | nominee | man | declare | candidates | he | announce | nominee | he | announce | plan
he | answer | violence | mother | fight against | bullying | he | answer | violence | he | answer | question
she | answer | telephone | woman | receives | phone call | she | answer | telephone | she | answer | question
i | appreciate | music | he | enjoys | jazz | i | appreciate | music | i | appreciate | teacher
i | appreciate | sea | he | admire | nature | i | appreciate | sea | i | appreciate | chief
i | appreciate | teacher | he | thank | mentor | i | appreciate | teacher | i | appreciate | sport
he | arrange | time | she | make | schedule | he | arrange | time | he | arrange | financing
they | arrange | trip | we | prepare for | travel | they | arrange | trip | they | arrange | marriages
i | ask for | appointment | he | apply for | job | i | ask for | appointment | i | ask for | water
i | ask for | help | he | seek for | assistance | i | ask for | help | i | ask for | permission
i | ask for | advice | he | seek for | suggestions | i | ask for | advice | i | ask for | answer
professor | assess | damage | engineer | evaluate | loss | professor | assess | damage | professor | assess | achievement
professor | attack | theory | scholar | argue against | research | professor | attack | theory | professor | attack | woman
